ZIP,SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,ORGFLSUBCHP,CRNTCHP,CRNTFLSUBCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,CLSUBCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT,GEOID
38107,2022-12-31,1,1,0,BK06512222301300,06,51,2,2223013,0,0,,2022-07-22,2022-07-22,2022,2022,7,,7,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,n,n,,,6900,0,6900,34474.97,0,0,34474.97,34474.97,0,34474.97,765,500,488,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222419600,06,51,2,2224196,0,0,,2022-09-29,2022-09-29,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,0,0,0,13369.26,8863.39,0,4505.87,13369.26,0,13369.26,0,860,996,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222321000,06,51,2,2223210,0,0,,2022-08-04,2022-08-04,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,12008,0,12008,16383,2400,0,13983,16383,0,16383,1997.29,2365.05,2154,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222567200,06,51,2,2225672,0,0,,2022-12-27,2022-12-27,2022,2023,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,C,C,A,A,A,A,y,y,,,114527,29400,85127,21585,14398,0,7187,21585,0,21585,4149.6,2382.68,1779,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222265200,06,51,2,2222652,0,0,,2022-07-01,2022-07-01,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,15506.5,0,15506.5,22032.55,17366.72,0,4665.83,22032.55,0,22032.55,150,1832,1341,,,,,10.6.3,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222371300,06,51,2,2223713,0,0,,2022-09-01,2022-09-01,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,N,A,A,A,A,A,A,y,y,,,800,0,800,15455.91,1000,0,14455.91,15455.91,0,15455.91,1187.88,1097.01,777,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222566600,06,51,2,2225666,0,0,,2022-12-27,2022-12-27,2022,2023,7,,7,,c,c,n,381072938,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,n,n,,,1050,0,1050,17866.52,0,0,17866.52,17866.52,0,17866.52,2248,2834.92,2778,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222381000,06,51,2,2223810,0,0,,2022-09-07,2022-09-07,2022,2022,7,,7,,c,c,y,381070000,47157,n,n,NA,381070000,47157,n,n,NA,i,,v,i,i,,N,B,B,B,B,A,A,n,n,,,87115,28800,58315,94769.72,55858.97,0,38910.75,94769.72,0,94769.72,0,2691,2635.08,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,1,0,BK06512222155800,06,51,2,2221558,0,0,,2022-04-21,2022-04-21,2022,2022,13,,13,,c,c,n,381070000,47157,n,n,NA,,,,,NA,i,,v,i,i,,Y,A,A,A,A,A,A,y,y,,,3810,0,3810,13140,5000,0,8140,13140,0,13140,2000,2062.66,1725,,,,,10.6.4,NA,NA,NA,,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,38107
38107,2022-12-31,1,0,1,BK06512222046800,06,51,2,2220468,0,0,,2022-02-09,2022-02-09,2022,2022,7,,7,,c,c,n,381070000,47157,n,n,NA,,,,,NA,p,p,v,i,i,,N,A,A,B,B,A,A,n,n,,,24455.94,0,24455.94,70147,18585,0,51562,39716,30431,70147,3477.27,2935.31,2928,,,,,10.6.3,2022-07-07,2022,2022,7,,n,A,2022-05-12,2022,2022,,,NA,NA,NA,NA,,10.6.3,N,38107
