LabForceParticipation,UnRate,GEOID,HomeOwnRate,BachPercent,MedIncome,BlackPercent
0.38980320750752856,0.2508084800574919,00601,0.6583287011302575,0.14562560308780959,15292,0.014188952469928764
0.3776582591493571,0.07685382222949746,00602,0.7607715041219474,0.21817471035610206,18716,0.018155429476184193
0.38015414258188823,0.17181956411556007,00603,0.5832599118942732,0.2426738652492138,16789,0.03421116900032563
0.33251883526776627,0.06919779546846296,00606,0.7317073170731707,0.10361216730038023,18835,0.004694835680751174
0.42280200142959257,0.09034234995773457,00610,0.7221849115737632,0.18840429929723027,21239,0.024547853018774136
0.5212464589235127,0.20833333333333334,00611,0.603112840466926,0.22114347357065803,17143,0.010132501948558068
0.40275355327123613,0.1843729844282687,00612,0.6203525022513829,0.2697423736121591,19934,0.030207520674052114
0.4589452603471295,0.20315151515151514,00616,0.7079593058049073,0.2074238661612861,19130,0.06322403298645199
0.4163350785340314,0.15857645875251508,00617,0.7297953964194374,0.24868597970908202,19048,0.04078410735429549
0.39651948799079534,0.19622778382299602,00622,0.7357475797776981,0.20859188544152746,17728,0.04438137014578764
0.41887441777672296,0.14391954104398327,00623,0.7275532907485825,0.2726233766233766,18690,0.03737516392615757
0.40076100945666165,0.14102206087685004,00624,0.69961078676675,0.23819274720919478,18136,0.027701715954728003
0.3877894284794045,0.07050572166851236,00627,0.7617665171109351,0.21396854380213304,19745,0.014201003497035122
0.3176470588235294,0.24915824915824916,00631,0.6262626262626263,0.24910179640718563,15234,0
0.36231884057971014,0,00636,0.6824324324324325,0.327217125382263,NA,0
0.38420943708609273,0.17559924589280904,00637,0.7922912205567452,0.21804463606391072,19042,0.015380604796663191
0.32775624022308375,0.25171197343847274,00638,0.7438660477453581,0.1507954986418316,18968,0.023121714059585054
0.37985882352941175,0.3071110009910803,00641,0.6074048601558918,0.20436724025266825,16233,0.014168171784065825
0.4851051110889708,0.16081330868761554,00646,0.7917895979094665,0.3120672794836691,29568,0.08707321122240053
0.3597768073750606,0.3722184760620364,00647,0.7426050856253243,0.16689617185348388,14430,0.05098114659484417
0.44199966278873715,0.23440778180431052,00650,0.7002133023075432,0.1975750347843371,20362,0.016362492133417242
0.41872097177563417,0.1407849829351536,00652,0.7616,0.29221854304635764,23813,0.02474162229877858
0.38190104166666666,0.3249232867371292,00653,0.6814257866889446,0.14211309523809523,11788,0.04747774480712166
0.38649276859504134,0.22502505846976278,00656,0.7234761246737295,0.24632325770453034,19054,0.017066494928352924
0.41349750623441395,0.07041085563513004,00659,0.7219615559255336,0.2833021313364055,20694,0.021105929380413058
0.4534583302576216,0.19713495034999187,00660,0.7138263665594855,0.25559481743227325,20770,0.02200895713371721
0.34851599826263213,0.09180790960451977,00662,0.5977529698010591,0.2480716345831377,17375,0.06848875391946276
0.3514759401536595,0.1854578923147722,00664,0.60625,0.20520833333333333,16389,0.029672217816547712
0.3848577335827508,0.21335379892555642,00667,0.683781373423366,0.16975004349591138,15426,0.015127825903232622
0.37548869624341324,0.1191715708465369,00669,0.6609543355566957,0.20757418654026563,17589,0.01811763858372654
0.335989010989011,0.06950122649223221,00670,0.7639257294429708,0.1841541755888651,15516,0.007319304666056725
0.40909365741580506,0.19642329293526456,00674,0.7417053404446907,0.23417212053337066,19103,0.03275291263362733
0.44178060001295927,0.246186564975066,00676,0.6235420503376304,0.22843805004974363,17423,0.04217210779125621
0.4357230204830327,0.08121382213646729,00677,0.6687489154954017,0.22955462112760663,24325,0.013990147783251231
0.39020231347066686,0.05621825912365655,00678,0.6767946577629382,0.21550034433437518,18269,0.027248379458913945
0.38551953628166596,0.22685507448141445,00680,0.5651508278521207,0.2469680625020431,15340,0.02735082423960994
0.40725553215855775,0.27757619738751815,00682,0.5139308492782813,0.33165058153922294,15678,0.030927835051546393
0.2878638284427945,0.0790231856221704,00683,0.6849174517302491,0.21625127397387195,16764,0.014259708737864078
0.3727782698553292,0.13163313796926976,00685,0.6936828716789146,0.20611774281063483,16785,0.03194005327491349
0.4322237901552254,0.1598809295179566,00687,0.7022995649471722,0.17515116052272284,21598,0.04048986893253982
0.38133571854502085,0.1886890800104248,00688,0.6264141662567634,0.19401947148817802,16181,0.017659279778393353
0.3775607888186866,0.17647058823529413,00690,0.7146776406035665,0.2751373298304275,18142,0.03281325398101979
